TradeID,Amount,Currency,Product,Country,SettlementType,Priority,Owner
1113,7532,GBP,Derivative,India,T+2,Medium,Akhil
1114,28217,GBP,Bond,Germany,T+3,Low,Revathi
1115,34998,EUR,Equity,USA,T+2,Medium,Pradeep
1116,42052,EUR,Equity,UK,T+3,Low,Suren
1117,38927,USD,ETF,Germany,T+3,High,Priya
1118,14464,EUR,Equity,Germany,T+3,Low,Bharath
1119,29787,GBP,Bond,UK,T+1,Low,Manoj
1120,7943,INR,Bond,UK,T+1,Medium,Manoj
1121,29881,GBP,Derivative,India,T+1,Low,Akhil
1122,18325,INR,ETF,Germany,T+1,High,Priya
1123,40245,GBP,Equity,Germany,T+3,Low,Bharath
1124,39142,GBP,Bond,Germany,T+3,High,Revathi
1125,38169,USD,Derivative,USA,T+3,Medium,Deepak
1126,22215,GBP,Derivative,UK,T+3,High,Kavya
1127,46205,INR,Equity,India,T+2,High,Naren
1128,9980,USD,ETF,Germany,T+2,Low,Priya
1129,14102,GBP,Equity,India,T+2,Low,Naren
1130,35415,EUR,Derivative,India,T+3,Medium,Akhil
1131,45595,INR,Equity,India,T+2,High,Naren
1132,7359,GBP,Equity,Germany,T+1,Low,Bharath
1133,29669,EUR,Bond,Germany,T+1,Medium,Revathi
1134,9806,INR,Derivative,USA,T+3,Medium,Deepak
1135,41754,INR,ETF,UK,T+1,Medium,Vignesh
1136,47140,USD,Equity,India,T+1,Medium,Naren
1137,30001,INR,Bond,USA,T+2,High,Arun
1138,32700,USD,ETF,USA,T+3,High,Harish
1139,38382,GBP,Equity,India,T+1,Medium,Naren
1140,15309,INR,Bond,UK,T+1,High,Manoj
1141,31397,INR,ETF,UK,T+1,High,Vignesh
1142,25001,EUR,Bond,USA,T+3,High,Arun
1143,31866,EUR,Equity,UK,T+3,Low,Suren
1144,22299,INR,Derivative,UK,T+3,High,Kavya
1145,40907,INR,Derivative,France,T+1,Low,Gayathri
1146,5712,INR,Bond,UK,T+3,Low,Manoj
1147,48904,GBP,Bond,Germany,T+2,Medium,Revathi
1148,20836,EUR,ETF,India,T+2,High,Rahul
1149,49268,GBP,ETF,India,T+3,Medium,Rahul
1150,49002,USD,ETF,UK,T+3,High,Vignesh
1151,22177,INR,ETF,India,T+3,Low,Rahul
1152,31748,USD,ETF,France,T+3,Medium,Keerthana
1153,38978,USD,Equity,Germany,T+2,Medium,Bharath
1154,27687,EUR,Bond,UK,T+1,Low,Manoj
1155,11480,INR,Equity,Germany,T+1,High,Bharath
1156,38275,USD,Bond,UK,T+2,Low,Manoj
1157,11676,INR,Derivative,France,T+1,Medium,Gayathri
1158,26058,GBP,Bond,India,T+3,Medium,Sneha
1159,31516,GBP,Bond,UK,T+3,High,Manoj
1160,45664,GBP,ETF,Germany,T+1,Medium,Priya
1161,25148,INR,Bond,Germany,T+2,Medium,Revathi
1162,19400,INR,ETF,UK,T+2,Medium,Vignesh
1163,8047,GBP,Equity,Germany,T+3,High,Bharath
1164,17640,EUR,ETF,India,T+2,Low,Rahul
1165,26483,GBP,Bond,France,T+3,Low,Divya
1166,42164,EUR,ETF,France,T+1,Medium,Keerthana
1167,29440,USD,Equity,France,T+2,High,Naveen
1168,6933,GBP,Bond,UK,T+1,Medium,Manoj
1169,46604,GBP,Derivative,India,T+1,Low,Akhil
1170,11547,INR,Equity,UK,T+3,High,Suren
1171,31231,INR,Equity,India,T+2,Low,Naren
1172,31056,INR,ETF,India,T+3,Medium,Rahul
1173,9600,INR,Equity,India,T+3,Medium,Naren
1174,18181,EUR,ETF,USA,T+3,High,Harish
1175,26778,GBP,Equity,France,T+1,Low,Naveen
1176,26832,EUR,Derivative,UK,T+1,Medium,Kavya
1177,42944,INR,Bond,Germany,T+1,High,Revathi
1178,49673,EUR,Equity,USA,T+3,Medium,Pradeep
1179,16740,EUR,ETF,Germany,T+3,High,Priya
1180,19035,EUR,Equity,India,T+1,Low,Naren
1181,48687,GBP,Bond,USA,T+2,Low,Arun
1182,32137,USD,ETF,India,T+2,Low,Rahul
1183,46055,USD,ETF,India,T+1,High,Rahul
1184,37349,USD,Equity,UK,T+1,Medium,Suren
1185,42672,EUR,Derivative,Germany,T+3,Medium,Karthik
1186,36353,GBP,Bond,USA,T+2,High,Arun
1187,33601,GBP,Bond,Germany,T+3,High,Revathi
1188,32991,USD,Equity,UK,T+2,Medium,Suren
1189,45226,GBP,ETF,UK,T+2,Low,Vignesh
1190,29465,GBP,ETF,India,T+1,Medium,Rahul
1191,16078,INR,Derivative,UK,T+3,Medium,Kavya
1192,49355,INR,ETF,Germany,T+1,Low,Priya
1193,22584,GBP,Derivative,Germany,T+3,Low,Karthik
1194,25739,USD,Bond,France,T+3,Low,Divya
1195,5727,GBP,Equity,India,T+2,High,Naren
1196,36676,USD,Equity,USA,T+1,Low,Pradeep
1197,5269,USD,Bond,Germany,T+1,High,Revathi
1198,24208,EUR,ETF,France,T+1,Medium,Keerthana
1199,7262,EUR,ETF,UK,T+2,Low,Vignesh
1200,45501,INR,ETF,France,T+3,Medium,Keerthana
1201,27868,EUR,Derivative,UK,T+1,High,Kavya
1202,32581,INR,Derivative,USA,T+3,Medium,Deepak
1203,47548,USD,Derivative,India,T+1,Medium,Akhil
1204,34037,GBP,ETF,Germany,T+3,High,Priya
1205,20883,INR,Equity,India,T+1,High,Naren
1206,46315,INR,Equity,France,T+2,Medium,Naveen
1207,13045,INR,Bond,Germany,T+3,High,Revathi
1208,17537,USD,ETF,Germany,T+1,Low,Priya
1209,6908,GBP,Derivative,France,T+2,Medium,Gayathri
1210,5155,EUR,Equity,USA,T+3,High,Pradeep
1211,9847,USD,Equity,Germany,T+3,Low,Bharath
1212,27217,INR,Bond,France,T+2,High,Divya
1213,25856,EUR,Equity,India,T+2,Medium,Naren
1214,47843,INR,Derivative,India,T+2,High,Akhil
1215,27033,GBP,Bond,Germany,T+3,Medium,Revathi
1216,45495,EUR,Equity,France,T+2,Medium,Naveen
1217,21718,GBP,Derivative,UK,T+1,Low,Kavya
1218,22954,EUR,Equity,India,T+1,Medium,Naren
1219,13100,USD,Equity,UK,T+3,Medium,Suren
1220,30039,EUR,Bond,Germany,T+3,High,Revathi
1221,11865,EUR,ETF,Germany,T+3,Low,Priya
1222,35093,EUR,ETF,UK,T+1,High,Vignesh
1223,21868,USD,ETF,USA,T+1,Low,Harish
1224,13336,GBP,Bond,USA,T+2,Medium,Arun
1225,49457,USD,Equity,India,T+2,Medium,Naren
1226,29360,EUR,Derivative,India,T+2,Medium,Akhil
1227,37338,EUR,Equity,Germany,T+3,Medium,Bharath
1228,18531,GBP,ETF,Germany,T+2,High,Priya
1229,46405,GBP,Bond,Germany,T+2,High,Revathi
1230,44823,GBP,Bond,France,T+2,High,Divya
1231,6262,GBP,Derivative,France,T+2,High,Gayathri
1232,31322,GBP,ETF,India,T+2,Low,Rahul
1233,31716,USD,Equity,Germany,T+1,Medium,Bharath
1234,25804,GBP,Bond,Germany,T+2,High,Revathi
1235,21315,GBP,Bond,France,T+2,High,Divya
1236,38460,USD,Derivative,Germany,T+2,Low,Karthik
1237,38584,INR,Equity,France,T+1,Medium,Naveen
1238,40839,USD,ETF,France,T+2,Low,Keerthana
1239,45995,USD,Derivative,USA,T+2,Medium,Deepak
1240,47937,INR,ETF,France,T+2,Medium,Keerthana
1241,16148,GBP,Equity,UK,T+1,Low,Suren
1242,30224,GBP,Equity,USA,T+2,Low,Pradeep
1243,28312,INR,Bond,USA,T+1,High,Arun
1244,47975,GBP,ETF,India,T+1,Low,Rahul
1245,18828,EUR,Equity,Germany,T+2,Low,Bharath
1246,22328,GBP,Derivative,USA,T+2,High,Deepak
1247,29636,EUR,Equity,India,T+3,Low,Naren
1248,47844,GBP,Bond,France,T+1,Low,Divya
1249,43568,GBP,Bond,Germany,T+3,High,Revathi
1250,10773,INR,Derivative,France,T+2,Low,Gayathri
1251,29528,INR,ETF,Germany,T+3,Medium,Priya
1252,49925,USD,Bond,UK,T+2,High,Manoj
1253,45847,USD,Equity,France,T+3,High,Naveen
1254,39793,GBP,Equity,Germany,T+2,Medium,Bharath
1255,6285,USD,ETF,France,T+1,Low,Keerthana
1256,35996,EUR,Derivative,France,T+3,Medium,Gayathri
1257,42661,INR,Equity,Germany,T+3,High,Bharath
1258,35026,USD,Derivative,France,T+3,Low,Gayathri
1259,10813,USD,ETF,India,T+1,Low,Rahul
1260,16258,INR,Equity,USA,T+1,High,Pradeep
1261,33838,USD,ETF,USA,T+2,High,Harish
1262,49523,USD,ETF,France,T+2,High,Keerthana
1263,21499,GBP,Derivative,France,T+3,Low,Gayathri
1264,48748,GBP,Bond,UK,T+1,Medium,Manoj
1265,49689,GBP,Derivative,France,T+1,Low,Gayathri
1266,29981,EUR,Equity,UK,T+1,Medium,Suren
1267,41251,INR,Equity,France,T+1,Medium,Naveen
1268,41777,INR,Derivative,Germany,T+1,Medium,Karthik
1269,13125,EUR,Equity,Germany,T+2,Medium,Bharath
1270,16371,USD,ETF,India,T+2,High,Rahul
1271,20681,GBP,Bond,India,T+2,Low,Sneha
1272,32961,EUR,ETF,France,T+2,Medium,Keerthana
1273,38097,INR,ETF,UK,T+3,Low,Vignesh
1274,10146,GBP,Bond,USA,T+1,Medium,Arun
1275,43032,GBP,ETF,France,T+3,High,Keerthana
1276,15018,USD,Bond,France,T+2,Medium,Divya
1277,13678,GBP,ETF,France,T+3,Low,Keerthana
1278,37725,USD,Derivative,UK,T+3,High,Kavya
1279,21296,USD,Equity,USA,T+2,Low,Pradeep
1280,36298,GBP,ETF,France,T+1,Medium,Keerthana
1281,9307,EUR,Derivative,UK,T+2,Low,Kavya
1282,23954,GBP,ETF,France,T+1,Medium,Keerthana
1283,20737,USD,Derivative,Germany,T+1,Medium,Karthik
1284,17364,EUR,Equity,France,T+2,Medium,Naveen
1285,19801,INR,ETF,UK,T+3,Medium,Vignesh
1286,10408,GBP,ETF,UK,T+2,Medium,Vignesh
1287,45545,EUR,ETF,USA,T+2,Low,Harish
1288,47594,EUR,Bond,Germany,T+1,Medium,Revathi
1289,32474,EUR,Equity,USA,T+1,Low,Pradeep
1290,23763,USD,Equity,India,T+1,Medium,Naren
1291,36881,GBP,Derivative,France,T+1,High,Gayathri
1292,49294,INR,Bond,France,T+1,High,Divya
1293,5105,INR,Equity,India,T+3,High,Naren
1294,40279,INR,Derivative,India,T+3,Medium,Akhil
1295,30808,GBP,ETF,Germany,T+2,Medium,Priya
1296,5974,USD,Equity,UK,T+3,Low,Suren
1297,15098,INR,ETF,Germany,T+3,High,Priya
1298,5640,USD,Derivative,USA,T+1,High,Deepak
1299,47926,INR,Derivative,USA,T+3,High,Deepak
1300,37458,EUR,Equity,UK,T+3,Medium,Suren
1301,48250,USD,Equity,France,T+3,Low,Naveen
1302,13525,GBP,Equity,India,T+3,Low,Naren
1303,38466,EUR,Bond,France,T+1,High,Divya
1304,45525,INR,Equity,France,T+1,High,Naveen
1305,48036,INR,Equity,UK,T+2,High,Suren
1306,10046,EUR,Bond,France,T+3,High,Divya
1307,22483,INR,ETF,USA,T+1,High,Harish
1308,19834,EUR,Equity,USA,T+2,High,Pradeep
1309,43820,USD,Equity,Germany,T+3,Low,Bharath
1310,44579,GBP,Derivative,France,T+1,High,Gayathri
1311,9813,INR,Equity,UK,T+2,High,Suren
1312,46548,GBP,Equity,Germany,T+2,Medium,Bharath
1313,44981,GBP,Bond,USA,T+2,High,Arun
1314,17829,INR,Equity,USA,T+1,Low,Pradeep
1315,13337,INR,Derivative,France,T+3,Low,Gayathri
1316,19872,USD,Bond,USA,T+1,Medium,Arun
1317,44576,GBP,Equity,Germany,T+2,Low,Bharath
1318,15648,EUR,Equity,USA,T+3,Medium,Pradeep
1319,27523,EUR,ETF,USA,T+1,High,Harish
1320,16822,INR,Equity,Germany,T+2,High,Bharath
1321,15439,USD,Derivative,USA,T+2,High,Deepak
1322,13341,GBP,ETF,UK,T+3,High,Vignesh
1323,38338,GBP,ETF,Germany,T+2,Medium,Priya
1324,36299,INR,Equity,France,T+2,High,Naveen
1325,32667,EUR,Equity,UK,T+1,Medium,Suren
1326,47324,GBP,Bond,India,T+2,Medium,Sneha
1327,33730,GBP,Derivative,UK,T+3,Low,Kavya
1328,17422,EUR,Equity,UK,T+3,Low,Suren
1329,9642,EUR,ETF,Germany,T+3,Low,Priya
1330,48378,INR,Derivative,USA,T+2,Low,Deepak
1331,9377,EUR,Bond,USA,T+1,Low,Arun
1332,46190,USD,Bond,France,T+3,Medium,Divya
1333,41104,INR,Derivative,France,T+3,Medium,Gayathri
1334,23844,USD,Bond,UK,T+1,Low,Manoj
1335,33536,EUR,ETF,India,T+3,Medium,Rahul
1336,13146,GBP,Derivative,USA,T+3,High,Deepak
1337,21742,EUR,Bond,UK,T+3,High,Manoj
1338,45372,INR,ETF,India,T+1,High,Rahul
1339,12257,EUR,Equity,France,T+2,Medium,Naveen
1340,14752,EUR,Equity,France,T+2,Medium,Naveen
1341,16794,EUR,Equity,France,T+3,Low,Naveen
1342,7250,USD,Equity,UK,T+3,Medium,Suren
1343,32695,EUR,Equity,USA,T+3,High,Pradeep
1344,7667,USD,Equity,France,T+1,Medium,Naveen
1345,27059,INR,Derivative,Germany,T+2,High,Karthik
1346,21094,USD,ETF,Germany,T+1,High,Priya
1347,12627,INR,ETF,USA,T+2,Low,Harish
1348,23957,EUR,Bond,India,T+2,Medium,Sneha
1349,49192,INR,ETF,USA,T+3,Low,Harish
1350,10372,USD,Equity,UK,T+2,Low,Suren
1351,45537,INR,Derivative,USA,T+2,Medium,Deepak
1352,7602,GBP,Equity,UK,T+2,Medium,Suren
1353,21798,INR,Bond,UK,T+2,High,Manoj
1354,11419,USD,ETF,India,T+3,Low,Rahul
1355,13070,GBP,ETF,UK,T+2,High,Vignesh
1356,6743,INR,ETF,USA,T+1,High,Harish
1357,47096,GBP,Equity,USA,T+3,Medium,Pradeep
1358,30975,EUR,Derivative,France,T+3,High,Gayathri
1359,17060,USD,Equity,UK,T+3,Medium,Suren
1360,19945,GBP,Equity,Germany,T+3,Medium,Bharath
1361,49604,GBP,Bond,India,T+3,High,Sneha
1362,12638,USD,ETF,France,T+1,High,Keerthana
1363,41968,INR,Bond,UK,T+3,High,Manoj
1364,37189,EUR,Derivative,India,T+1,Low,Akhil
1365,13010,GBP,Derivative,UK,T+3,Medium,Kavya
1366,28441,EUR,Bond,UK,T+3,Medium,Manoj
1367,34721,INR,Bond,India,T+2,Medium,Sneha
1368,8801,GBP,Bond,France,T+1,High,Divya
1369,11221,INR,Equity,India,T+1,Medium,Naren
1370,17622,EUR,Derivative,India,T+1,High,Akhil
1371,29678,EUR,Equity,USA,T+2,Medium,Pradeep
1372,17979,EUR,Bond,India,T+3,Medium,Sneha
1373,44631,EUR,Equity,France,T+3,High,Naveen
1374,15496,GBP,Derivative,USA,T+1,High,Deepak
1375,45130,GBP,Derivative,UK,T+2,High,Kavya
1376,15567,GBP,Derivative,France,T+1,High,Gayathri
1377,48951,GBP,ETF,France,T+1,Low,Keerthana
1378,13995,USD,ETF,UK,T+3,Low,Vignesh
1379,39892,USD,ETF,France,T+1,Low,Keerthana
1380,12627,EUR,ETF,India,T+2,Low,Rahul
1381,47941,USD,Derivative,France,T+3,Low,Gayathri
1382,27832,EUR,Equity,Germany,T+2,Medium,Bharath
1383,19202,GBP,Bond,UK,T+1,Medium,Manoj
1384,45873,GBP,Bond,USA,T+1,Medium,Arun
1385,41777,GBP,Equity,France,T+2,High,Naveen
1386,29085,INR,Derivative,Germany,T+1,High,Karthik
1387,13217,INR,Equity,France,T+1,High,Naveen
1388,44626,USD,ETF,Germany,T+2,Low,Priya
1389,38854,USD,ETF,USA,T+1,Medium,Harish
1390,24669,USD,ETF,France,T+3,Low,Keerthana
1391,5731,GBP,ETF,France,T+3,Low,Keerthana
1392,48805,USD,Derivative,France,T+2,High,Gayathri
1393,43690,INR,Derivative,India,T+3,Low,Akhil
1394,46291,GBP,Bond,UK,T+2,Medium,Manoj
1395,23063,GBP,ETF,UK,T+2,High,Vignesh
1396,23398,GBP,ETF,UK,T+1,High,Vignesh
1397,38435,EUR,Derivative,USA,T+2,High,Deepak
1398,40573,GBP,Equity,India,T+3,High,Naren
1399,45553,EUR,ETF,UK,T+2,Medium,Vignesh
1400,35330,USD,Derivative,UK,T+1,Medium,Kavya
1401,13147,USD,Equity,UK,T+3,Medium,Suren
1402,34810,GBP,Derivative,France,T+2,High,Gayathri
1403,9696,USD,Derivative,Germany,T+3,High,Karthik
1404,13592,GBP,Bond,USA,T+3,Low,Arun
1405,30226,USD,ETF,India,T+1,Low,Rahul
1406,27197,USD,Bond,UK,T+1,Low,Manoj
1407,20905,INR,Equity,Germany,T+1,Medium,Bharath
1408,27698,EUR,ETF,France,T+3,High,Keerthana
1409,15582,GBP,Derivative,France,T+2,Low,Gayathri
1410,30725,USD,Equity,France,T+1,Medium,Naveen
1411,20607,EUR,ETF,India,T+2,Low,Rahul
1412,12019,INR,ETF,USA,T+1,Medium,Harish
1413,6320,USD,Bond,USA,T+3,Medium,Arun
1414,17595,USD,Derivative,Germany,T+2,High,Karthik
1415,45597,USD,Equity,UK,T+2,Low,Suren
1416,14889,GBP,Equity,France,T+3,Medium,Naveen
1417,29675,GBP,Derivative,India,T+2,Medium,Akhil
1418,27269,INR,Equity,France,T+2,High,Naveen
1419,40911,USD,Equity,Germany,T+3,High,Bharath
1420,22568,USD,ETF,UK,T+2,Low,Vignesh
1421,33525,GBP,ETF,Germany,T+1,Medium,Priya
1422,48928,EUR,ETF,France,T+2,Low,Keerthana
1423,25973,INR,ETF,France,T+1,High,Keerthana
1424,38775,GBP,Equity,USA,T+1,Low,Pradeep
1425,17479,EUR,Equity,UK,T+2,Medium,Suren
1426,22432,EUR,Bond,Germany,T+2,Low,Revathi
1427,30837,USD,Equity,Germany,T+2,High,Bharath
1428,49768,EUR,ETF,UK,T+2,Low,Vignesh
1429,25779,GBP,ETF,UK,T+2,Low,Vignesh
1430,9619,GBP,Bond,UK,T+3,Low,Manoj
1431,7343,USD,Equity,USA,T+3,Low,Pradeep
1432,44489,USD,ETF,Germany,T+3,Low,Priya
1433,41085,USD,ETF,France,T+1,Low,Keerthana
1434,34907,INR,Derivative,Germany,T+2,Medium,Karthik
1435,12753,INR,Derivative,UK,T+2,High,Kavya
1436,10644,EUR,ETF,India,T+1,Low,Rahul
1437,42009,INR,ETF,France,T+3,High,Keerthana
1438,29104,USD,Derivative,India,T+2,Low,Akhil
1439,25200,EUR,Derivative,France,T+2,Low,Gayathri
1440,23595,EUR,ETF,Germany,T+3,High,Priya
1441,11208,INR,Bond,India,T+1,High,Sneha
1442,42932,EUR,Bond,USA,T+3,Medium,Arun
1443,31687,USD,ETF,UK,T+2,High,Vignesh
1444,40600,EUR,ETF,Germany,T+3,Low,Priya
1445,12225,GBP,Derivative,UK,T+1,High,Kavya
1446,32365,EUR,Bond,France,T+2,Low,Divya
1447,48087,GBP,Derivative,Germany,T+2,Medium,Karthik
1448,28162,USD,Bond,Germany,T+3,Low,Revathi
1449,20152,EUR,Bond,USA,T+2,Medium,Arun
1450,12919,USD,Equity,Germany,T+2,Medium,Bharath
1451,20742,INR,Bond,India,T+1,High,Sneha
1452,47538,EUR,ETF,USA,T+3,Low,Harish
1453,8631,EUR,Equity,USA,T+3,Low,Pradeep
1454,32906,USD,Bond,India,T+1,Medium,Sneha
1455,6738,EUR,ETF,USA,T+2,Low,Harish
1456,48548,GBP,Equity,UK,T+1,High,Suren
1457,43846,GBP,ETF,France,T+3,Low,Keerthana
1458,10997,EUR,Equity,France,T+1,Low,Naveen
1459,17125,INR,Derivative,India,T+3,Low,Akhil
1460,9593,USD,Derivative,UK,T+1,High,Kavya
1461,28332,INR,Bond,France,T+1,High,Divya
1462,27607,GBP,ETF,USA,T+2,Medium,Harish
1463,33962,USD,Bond,UK,T+1,Low,Manoj
1464,8959,EUR,Bond,Germany,T+3,Medium,Revathi
1465,23062,EUR,Equity,UK,T+2,High,Suren
1466,25569,INR,Derivative,Germany,T+3,High,Karthik
1467,11665,INR,ETF,UK,T+2,Medium,Vignesh
1468,12885,GBP,Derivative,USA,T+2,Low,Deepak
1469,39683,GBP,Bond,Germany,T+2,Low,Revathi
1470,28177,EUR,ETF,France,T+1,Low,Keerthana
1471,28407,GBP,Bond,USA,T+2,Medium,Arun
1472,7236,INR,ETF,UK,T+1,High,Vignesh
1473,38821,INR,ETF,USA,T+2,Low,Harish
1474,24094,EUR,Derivative,USA,T+1,Medium,Deepak
1475,33305,USD,Equity,Germany,T+3,Low,Bharath
1476,39177,EUR,ETF,Germany,T+2,High,Priya
1477,8189,EUR,Equity,Germany,T+2,Low,Bharath
1478,38508,GBP,Derivative,Germany,T+1,High,Karthik
1479,6115,USD,Bond,UK,T+3,Medium,Manoj
1480,19342,USD,Bond,Germany,T+2,Low,Revathi
1481,14478,INR,Bond,Germany,T+1,Medium,Revathi
1482,34770,GBP,Bond,USA,T+2,Low,Arun
1483,24396,EUR,Equity,France,T+1,High,Naveen
1484,28876,EUR,Bond,India,T+3,High,Sneha
1485,35666,GBP,Derivative,France,T+2,Low,Gayathri
1486,20880,GBP,ETF,India,T+2,High,Rahul
1487,9705,USD,ETF,Germany,T+2,Low,Priya
1488,21196,USD,ETF,France,T+2,Low,Keerthana
1489,6493,EUR,ETF,India,T+1,High,Rahul
